ID;title;production_year
2887;El salto: Unidades especiales del ejército;1975
2888;El secdleto de la tlompeta;1995
2889;El secreto inconfesable de un chico bien;1976
2890;El seductor;1995
2891;El segundo poder;1976
2892;El ser;1982
2893;El sexo ataca (1ª jornada);1979
2894;El sexo está loco;1981
2895;El señor de los Llanos;1987
2896;El señor está servido;1976
2897;El señor Galíndez;1984
2898;El siglo del viento;1999
2899;El siniestro doctor Orloff;1984
2900;El sistema de Robert Hein;1986
2901;El socarrón;1975
2902;El sol del membrillo;1992
2903;El somni de Maureen;1993
2904;El soplagaitas;1981
2905;El sudor de los ruiseñores;1998
2906;El sueño de Adán;1994
2907;El sueño de Cristo;1997
2908;El sueño de Tánger;1991
2909;El sueño del mono loco;1989
2910;El sueño, o la estrella;1975
2911;El sur;1983
2912;El séptimo día del sol;1980
2913;El síndrome Martins;1999
2914;El sótano;1998
2915;El tahúr;1979
2916;El teatre-museu Dalí es tanca a les set;1989
2917;El techo;1987
2918;El techo del mundo;1995
2919;El tenor mental;1993
2920;El terrorista;1978
2921;El tesoro;1990
2922;El tesoro de la diosa blanca;1983
2923;El tesoro de las cuatro coronas;1983
2924;El testaferro;1999
2925;El tibet, perfil dun poble;1986
2926;El tiempo de la felicidad;1997
2927;El tiempo de Neville;1991
2928;El tiempo perdido;1997
2929;El tigre;1980
2930;El topo y el hada;1999
2931;El trabajo;1999
2932;El transexual;1977
2933;El tren de las ocho;1996
2934;El tubo de rayos catódicos;1981
2935;El tío del saco y el inspector Lobatón;1993
2936;El túnel;1988
2937;El venedor de morts;1994
2938;El vent de lilla;1988
2939;El viaje;1992
2940;El viaje;1994
2941;El viaje a Mannheim;1976
2942;El viaje a ninguna parte;1986
2943;El viaje al Ampurdán;1992
2944;El viaje de Arián;1995
2945;El viaje del agua;1990
2946;El viatge a lultima estació;1982
2947;El viatger;1998
2948;El vicari dOlot;1981
2949;El vicio y la virtud;1975
2950;El viejo;1982
2951;El viento africano;1997
2952;El viento se llevó lo qué;1998
2953;El violador violado;1983
2954;El virgo de Visanteta;1979
2955;El vividor cero;1984
2956;El vividor II;1983
2957;El vivo retrato;1986
2958;El vuelo de la paloma;1989
2959;El zapato;1980
2960;El zoo;1978
2961;El ángel de la guarda;1996
2962;El ángel de mármol;1995
2963;El ángel más caído;1993
2964;El último baile de Fred Astaire;1996
2965;El último guateque;1978
2966;El último guateque II;1988
2967;El último intento;1998
2968;El último kamikaze;1984
2969;El último latido;1994
2970;El último payaso;1985
2971;El último pecado de la burguesía;1978
2972;El último penalty;1984
2973;El último tango en Madrid;1975
2974;El último viaje de Marcello;1995
2975;El último viaje de Robert Rylands;1996
2976;Elegía;1987
2977;Eliminators;1986
2978;Elisa, vida mía;1977
2979;Elisita;1980
2980;Elkano, el hombre que dio la primera vuelta al mundo;1975
2981;Ella;1999
2982;Ella está enfadada;1995
2983;Ella no está sola;1998
2984;Ella, él y Benjamín;1988
2985;Ellas los prefieren... locas;1977
2986;Elles;1997
2987;Els aucells de la piscina;1999
2988;Els encants;1982
2989;Els museus;1979
2990;Els orígens dun poble. Naixement de Catalunya;1980
2991;Els papers dAspern;1991
2992;Els peixos argentats a la peixera;1991
2993;Em dic Sara;1998
2994;Emanuelle nera;1975
2995;Embrujada;1983
2996;Emigrante;1979
2997;Emilia... parada y fonda;1976
2998;Emmanuelle y Carol;1978
2999;En brazos de la mujer madura;1997
3000;En busca del dragón dorado;1983
3001;En busca del huevo perdido;1982
3002;En busca del polvo perdido;1982
3003;En casa de Diego;1993
3004;En dag til i solen;1998
3005;En el bar de un hotel de Tokio;1986
3006;En el mar de Fuerteventura;1976
3007;En el trastero;1992
3008;En la cresta de la ola;1975
3009;En la piscina;1996
3010;En la puta calle;1997
3011;En legítima defensa;1978
3012;En Madison siempre es lunes;1996
3013;En medio de ninguna parte;1997
3014;En mil pedazos;1980
3015;En nombre de Dios;1987
3016;En penumbra;1987
3017;En secreto... amor;1983
3018;En septiembre;1982
3019;En un París imaginario;1975
3020;Enciende mi pasión;1994
3021;Encuentro en Carabanchel;1994
3022;Encuentro en el abismo;1979
3023;Endora;1999
3024;Enigma rosso;1978
3025;Ensalada Baudelaire;1978
3026;Ensenyament;1977
3027;Entre comillas;1990
3028;Entre el amanecer y el día;1994
3029;Entre hermanos;1984
3030;Entre las piernas;1999
3031;Entre las sombras del suburbano III;1995
3032;Entre paréntesis;1982
3033;Entre pitos anda el juego;1986
3034;Entre rojas;1995
3035;Entre tanto;1995
3036;Entre tinieblas;1983
3037;Entre todas las mujeres;1998
3038;Entre vías;1995
3039;Entreacte;1989
3040;Entreacto;1976
3041;Entretiempo;1992
3042;Entrevista;1993
3043;Epílogo;1984
3044;Equipaje, lista de espera, pasaporte, souvenir;1994
3045;Er güevo;1998
3046;Eres mi gula;1982
3047;Erice 75;1975
3048;Ernesto;1979
3049;Eros Hotel;1979
3050;Erotic Family;1980
3051;Es pecado... pero me gusta;1978
3052;Es peligroso casarse a los 60;1981
3053;Es venen records;1999
3054;Esa cosa con plumas;1988
3055;Esa es tu parte;1992
3056;Esa maldita costilla;1999
3057;Esas chicas tan pu...;1982
3058;Escalofrío;1978
3059;Escapada final (Scapegoat);1985
3060;Escape from El Diablo;1984
3061;Escenes duna orgia a Formentera;1996
3062;Esclava te doy;1976
3063;Esclavas del crimen;1987
3064;Esclavos de mi poder;1996
3065;Escola dadults;1979
3066;Escoles;1980
3067;Escorial infinito;1975
3068;Escrit als estels;1991
3069;Escrito en la niebla;1982
3070;Escrito en la piel;1995
3071;Escrito en los cielos;1985
3072;Escríbeme algo;1999
3073;Escuadrón;1988
3074;Escuela de grandes putas;1985
3075;Esculturas para el entorno;1977
3076;Esculturas para un paisaje;1976
3077;Ese ser extrano;1978
3078;Eskorpion;1989
3079;Eso;1997
3080;Espacio;1997
3081;Espacio;1999
3082;Espais de nit;1996
3083;España, una fiesta;1985
3084;Españolito que vienes al mundo;1983
3085;Especial (con luz);1995
3086;Espectro (Más allá del fin del mundo);1978
3087;Especulació del sól;1982
3088;Esperando a papá;1980
3089;Esperanza & sardinas;1996
3090;Esperanza;1986
3091;Esposa de día, amante de noche;1977
3092;Esposa y amante;1977
3093;Esposados;1996
3094;Espuma;1978
3095;Espérame en el cielo;1988
3096;Esquilache;1989
3097;Est - Ouest;1999
3098;Esta es mi tierra;1999
3099;Estación Central;1989
3100;Estación de Chamartín;1981
3101;Estación de verano;1975
3102;Estigma;1980
3103;Estimado Sr. juez...;1978
3104;Estirpe de tritones;1993
3105;Esto es un atraco;1987
3106;Esto sí se hace;1987
3107;Estocolmo;1996
3108;Estoy en crisis;1982
3109;Estoy hecho un chaval;1977
3110;Estrecho Adventure;1996
3111;Estímulos sonoros;1979
3112;Eterna historia;1986
3113;Eu, o tolo;1982
3114;Eugenie (Historia de una perversión);1980
3115;Eulalia;1987
3116;Europa;1991
3117;Eusebio: El desenterrador;1998
3118;Eva man (Due sessi in uno);1980
3119;Eva, limpia como los chorros del oro;1977
3120;Eva, ¿qué hace ese hombre en tu cama?;1975
3121;Evilio vuelve (El purificador);1994
3122;Evilio.;1992
3123;Existió otra humanidad;1977
3124;Exorcio Deus Machine: La misión;1996
3125;Exorcismo;1975
3126;Exosmosis;1975
3127;Expedicio Catalano-Nepalese al Cho Oyu 8201m, Himalaia-Nepal: La sisena muntanya mes alta del mon;1984
3128;Expedició catalana a lEverest. Aresta W. primer intent catala al sostre del món;1982
3129;Expediente;1977
3130;Expo-X;1994
3131;Expresionismo rupestre en el Levante español;1975
3132;Expreso;1982
3133;Expreso;1994
3134;Extramuros;1985
3135;Extranjeros en la 13 dimensión;1978
3136;Extraño matrimonio;1984
3137;Extraños;1999
3138;Ez;1977
3139;F comme François;1985
3140;F.E.N.;1980
3141;F.F.G. un retrato;1976
3142;Faceless;1987
3143;Fallait pas!...;1996
3144;Falo Crest;1987
3145;Familia;1996
3146;Fango;1977
3147;Fanny Pelopaja;1984
3148;Fantasma en el Oeste;1976
3149;Fat Angels;1981
3150;Fea;1994
3151;Felicidades Tovarich;1995
3152;Feliz aniversario;1998
3153;Feliz cumpleaños;1988
3154;Feliz navidad;1998
3155;Femenino singular;1982
3156;Feminisme;1982
3157;Femmes;1983
3158;Femmine infernali;1980
3159;Fendetestas;1975
3160;Fermín Salvoechea: visto para sentencia;1987
3161;Fernando, un pintor de León;1984
3162;Feroz;1984
3163;Festes de la Mercè;1978
3164;Fideos;1979
3165;Fiebre de danza;1984
3166;Fiesta de la vendimia en Montilla;1975
3167;Fiesta de San Jorge en Barcelona;1976
3168;Fiestas de verano en Málaga. La feria del sur de Europa;1991
3169;Fin de round;1992
3170;Fin de trayecto Canfranc;1997
3171;Final;1993
3172;Finisterre, donde termina el mundo;1998
3173;Fiona;1980
3174;Fist Fighter;1989
3175;Flamenco;1975
3176;Flamenco (de Carlos Saura);1995
3177;Flesh+Blood;1985
3178;Flores de otro mundo;1999
3179;Folle... folle... fólleme Tim!;1978
3180;For Gods Sake;1990
3181;Fotogramas salvajes;1980
3182;Fotos;1996
3183;Fragil;1994
3184;Franco no puede morir en la cama;1998
3185;Fratello dello spazio;1988
3186;Fraude matrimonial;1977
3187;Fredy el croupier;1982
3188;Freebel;1990
3189;Fresa y chocolate;1993
3190;From Hell to Victory;1979
3191;Frontera Sur;1998
3192;Fuego eterno;1985
3193;Fuera de juego;1991
3194;Fuerteventura;1976
3195;Fuerteventura, playa dorada;1977
3196;Fuerza mortal;1980
3197;Fugaz;1988
3198;Fulanita y sus menganos;1976
3199;Fulgor y muerte de Joaquín Murrieta;1975
3200;Full Stop;1997
3201;Función de noche;1981
3202;Funerales de arena;1975
3203;Furia española;1975
3204;Furtivos;1975
3205;Futuro imperfecto;1985
3206;Futuro perfecto;1986
3207;Fábula de la Bella Palomera;1988
3208;Galicia;1975
3209;Galiza;1977
3210;Gallego;1988
3211;Gambito;1996
3212;Gamiani;1981
3213;Gamma 76, un campamento nuevo;1976
3214;Garum (fantástica contradicción);1988
3215;Gary Cooper, que estás en los cielos;1980
3216;Gasherbrum II. Un gegant de 8.000 metres;1988
3217;Gatti rossi in un labirinto di vetro;1975
3218;Gaudí;1989
3219;Gay Club;1981
3220;Gemidos de placer;1983
3221;Generador adolescente;1998
3222;Genesis;1998
3223;Gent de fang;1991
3224;Geografía de La Mancha;1978
3225;Gernika;1987
3226;Gernika;1994
3227;Gernika Lives;1989
3228;Gerona, puerta de España;1976
3229;Gimlet;1995
3230;Gitanos sin romancero;1976
3231;Gli sterminatori dellanno 3000;1983
3232;Glória;1999
3233;Go for Gold!;1997
3234;Golfo de Vizcaya;1985
3235;Golpe a golpe;1992
3236;Golpe de estadio;1998
3237;Goma-2;1984
3238;Goomer;1999
3239;Gorilas a todo ritmo;1981
3240;Govoryashchaya obezyana;1991
3241;Goya;1979
3242;Goya en Burdeos;1999
3243;Gran liquidación;1995
3244;Gran Slalom;1996
3245;Gran Sol;1989
3246;Granada: Agua Sin Pausa;1998
3247;Grande de Cuba;1997
3248;Grandes ocasiones;1998
3249;Greta y sus reuniones sexuales;1985
3250;Gris en blanco y negro;1997
3251;Gritos a medianoche;1976
3252;Gritos de ansiedad;1984
3253;Gritos... a ritmo fuerte;1984
3254;Groenlandia. Catalans al Gran Nord;1976
3255;Gràcies per la propina;1997
3256;Guadalest insólito;1976
3257;Guanche;1978
3258;Guantanamera;1995
3259;Guapa, rica y... especial;1975
3260;Guarapo;1987
3261;Guerra sucia;1984
3262;Guerreras verdes;1976
3263;Guinovart;1982
3264;Guipuzkoa Donostia: Costa guipuzcoana;1983
3265;Gula;1984
3266;Gulliver;1979
3267;Gusanos de seda;1977
3268;Gustavo y la modelo (Histoire de ler);1978
3269;Guyana: Crime of the Century;1979
3270;Guzmán-Goodman;1997
3271;Guía de Santiago de Compostela;1977
3272;Géminis;1982
3273;Habibi, amor mío;1981
3274;Habitaciones de alquiler;1998
3275;Habitación;1976
3276;Habitarte;1976
3277;Hablamos esta noche;1982
3278;Hablando con la pared;1999
3279;Hace quince años;1987
3280;Hacienda somos casi todos;1988
3281;Haika mutil;1997
3282;Hamam;1997
3283;Hambre;1996
3284;Hanul Carpatilor (la posada de los Cárpatos);1999
3285;Happy End;1977
3286;Haragia;1999
3287;Harlequin Exterminator;1991
3288;Has preparat el cafè, amor meu?;1991
3289;Hasta que el matrimonio nos separe;1977
3290;Havanera 1820;1992
3291;Hay que deshacer la casa;1986
3292;Hay que matar a B.;1975
3293;Hay que zurrar a los pobres;1993
3294;Haz la loca... no la guerra;1976
3295;Haz lo que te dé la gana;1995
3296;Hazlo por mí;1998
3297;Hechizo;1982
3298;Hechizo lunar;1997
3299;Heißer Sex auf Ibiza;1982
3300;Hermana, pero ¿qué has hecho?;1995
3301;Heroes;1982
3302;Hic Digitur Dei;1976
3303;Hierba salvaje;1979
3304;Hierro dulce;1985
3305;Hijar;1977
3306;Hijos de papá;1980
3307;Hikayatul jawahiri thalath;1995
3308;Himenóptero;1992
3309;Histoire dO: Chapitre 2;1984
3310;Historia de S;1979
3311;Historia de fuego;1986
3312;Historia sexual de O;1984
3313;Historias Cortas de Madrid;1999
3314;Historias de amor y masacre;1979
3315;Historias de la puta mili;1994
3316;Historias de mujeres;1980
3317;Historias del Kronen;1995
3318;Historias oscuras;1991
3319;Historias paralelas;1983
3320;Hitchcock, mon amour;1982
3321;Ho sap el ministre?;1991
3322;Hola mamá;1997
3323;Hola, desconocido!;1998
3324;Hola, ¿estás sola?;1995
3325;Hold-Up, instantánea de una corrupción;1977
3326;Hollow Reed;1996
3327;Hollywood Blu;1982
3328;Hombre cero;1995
3329;Hombres que rugen;1984
3330;Hombres sin mujeres;1999
3331;Homenage à trois;1979
3332;Homenaje;1975
3333;Homenaje a la humanidad;1998
3334;Homo hominis opus I;1981
3335;Hongos;1999
3336;Hop;1982
3337;Hora final;1992
3338;Horitzons tibetans;1992
3339;Hotel Oasis;1995
3340;Hotel Room;1998
3341;Hotel y domicilio;1995
3342;Huellas del paraíso;1991
3343;Huevos de oro;1993
3344;Huevos revueltos;1982
3345;Huida;1996
3346;Huida a la fantasia;1997
3347;Huidos;1993
3348;Hundra;1983
3349;Huntza;1992
3350;Huérfanos;1976
3351;Hábitos;1995
3352;Hábitos II;1993
3353;Héctor, el estigma del miedo;1984
3354;Húmedo;1999
3355;I camionisti;1982
3356;I mira;1982
3357;I picari;1987
3358;I viaggiatori della sera;1979
3359;Ibiza es una fiesta;1976
3360;Iconockaut;1976
3361;Idil·li xorc;1983
3362;Idioterne;1998
3363;Idoia;1999
3364;Ignotus;1993
3365;Igual caen dos (El atardecer del Pezuñas);1997
3366;Iguana;1988
3367;Ikuska 11;1981
3368;Ikuska 13. Euskal kanta berria. La nueva canción vasca;1983
3369;Ikuska 2;1979
3370;Ikuska 4;1980
3371;Ikuska 8;1980
3372;Ikuska-3;1979
3373;Ikusmena;1980
3374;Il bianco il giallo il nero;1975
3375;Il cacciatore di squali;1979
3376;Il miele del diavolo;1986
3377;Il richiamo del lupo;1975
3378;Il tocco: la sfida;1997
3379;Illuminata;1998
3380;Ilona llega con la lluvia;1996
3381;Ilusionismo;1996
3382;Immortal Sins;1991
3383;Imposible para una solterona;1976
3384;Imágenes del deporte Nº 73;1975
3385;Imágenes del deporte Nº 74;1975
3386;Imágenes del deporte Nº 75;1975
3387;Imágenes del deporte Nº 76;1975
3388;Imágenes del deporte Nº 77;1975
3389;Imágenes del deporte Nº 78;1975
3390;Imágenes del deporte Nº 79;1975
3391;Imágenes del deporte Nº 80;1975
3392;Imágenes del deporte Nº 81;1975
3393;Imágenes del deporte Nº 82;1975
3394;Imágenes del deporte Nº 83;1975
3395;Imágenes del deporte Nº 84;1976
3396;In memoriam;1977
3397;In nome del padre, del figlio e della Colt;1975
3398;In the Soup;1992
3399;Inclinación sexual al desnudo;1982
3400;Increible, pero mentira;1981
3401;Incubo sulla città contaminata;1980
3402;Indefenso;1990
3403;Infinita;1996
3404;Informe general sobre unas cuestiones de interés para una proyección pública;1977
3405;Informe sobre el FAGC;1979
3406;Iniciativa privada;1986
3407;Innisfree;1990
3408;Inquietude;1998
3409;Inquisición;1976
3410;Inseminación artificial;1983
3411;Insomnio;1998
3412;Insomnio de una noche de verano;1999
3413;Inspiration;1990
3414;Instituto nacional de ciencias de la educación;1975
3415;Insólito Lanzarote;1976
3416;Intercambio de parejas frente al mar;1978
3417;Interferencias;1996
3418;Interferencias en la sociedad de consumo;1976
3419;Interior roig;1983
3420;Interior/Noche;1996
3421;Intrepidíssima;1996
3422;Intruso;1993
3423;Intrusos III;1994
3424;Invierno en España;1975
3425;Invierno en Marbella;1983
3426;Inés de Villalonga 1870;1979
3427;Io sono mia;1978
3428;Iokanaan, zure gorputza;1992
3429;Ione, sube al cielo;1999
3430;Iquitos i Machu Pichu. Entre la llegenda i la realitat;1978
3431;Ir por lana;1976
3432;Iris;1999
3433;Irma y yo deseamos morir;1982
3434;Irrintzi;1978
3435;Irún y su alarde;1976
3436;Isa;1996
3437;Isla de lobos;1999
3438;Isolina do Caurel;1997
3439;Ispanskaya aktrisa dlya russkogo ministra;1991
3440;Istoriya odnoy bilyardnoy komandi.;1988
3441;Itara (La madre);1999
3442;Ivorsi;1993
3443;J.R. contraataca;1983
3444;J.V.;1993
3445;Jadoube;1992
3446;Jaguar Lives!;1979
3447;Jalea real;1980
3448;Jamón, jamón;1992
3449;Jane, mi pequeña salvaje;1982
3450;Jaque a la dama;1979
3451;Jaque al amor;1999
3452;Jarama fórmula 1;1976
3453;Jardines colgantes;1993
3454;Jarrapellejos;1988
3455;Jarretelles roses sur bas noirs;1981
3456;Jazzoo;1999
3457;Jean et elle;1983
3458;Jeremy (Concierto para dos);1982
3459;Jet Marbella Set;1991
3460;Jill;1978
3461;Jo, papá;1975
3462;Jodiendo de los 60 a los 90;1987
3463;José Hernández;1978
3464;Jovenes;1998
3465;Juana la Loca... de vez en cuando;1983
3466;Juego de amor prohibido;1975
3467;Juego de llaves;1995
3468;Juego de seducción;1997
3469;Juego decisivo;1982
3470;Juego sucio en Casablanca;1985
3471;Juego sucio en Panamá;1975
3472;Jueves Santo en Málaga;1975
3473;Jugando a papás;1978
3474;Jugando con la muerte;1982
3475;Jukebox;1994
3476;Julieta;1983
3477;Just a Film (Una película);1981
3478;Justino, un asesino de la tercera edad;1994
3479;Juventud drogada;1977
3480;Juventud sin freno;1979
3481;Jóvenes amiguitas buscan placer;1982
3482;Jóvenes viciosas;1980
3483;Kargus;1981
3484;Karnabal;1985
3485;Katuwira, donde nacen y mueren los sueños;1996
3486;Katy, Kiki y Koko;1988
3487;Katy, la oruga;1984
3488;Ke arteko egunak;1990
3489;Kika;1993
3490;Kikos;1993
3491;Killer Barbys;1996
3492;Killer berberechos;1996
3493;Kilma, reina de las amazonas;1977
3494;Kilómetro cero: la partida;1989
3495;Kleines Tropicana - Tropicanita;1997
3496;Knock Out;1997
3497;Kompostela, kapital Bravú;1997
3498;Krapatchouk;1993
3499;Kuai can che;1984
3500;Kárate contra mafia;1980
3501;Labsence;1992
3502;Laccident;1999
3503;Lagressió quotidiana;1982
3504;Lajuntament de Barcelona;1979
3505;Lamante tutta da scoprire;1981
3506;Lamor és estrany;1988
3507;Lanello matrimoniale;1979
3508;Lappartement;1996
3509;Larbre de les cireres;1998
3510;LAssemblea de Catalunya;1983
3511;Lavaro;1990
3512;Lenfonsament del Titanic;1994
3513;Lensenyament de la música;1979
3514;Lescampavies;1998
3515;Lescoltador;1999
3516;Lescot;1987
3517;Lespeculació del sol;1978
3518;Lestatut;1978
3519;LEstatut de Catalunya;1982
3520;Leugassada;1982
3521;Lexhibidor;1978
3522;Lhome de neó;1991
3523;Lhome ronyó;1983
3524;Lhomme qui a perdu son ombre;1991
3525;Linchiesta;1986
3526;Linfortuni;1991
3527;Lingorgo - Una storia impossibile;1979
3528;Loasis des filles perdues;1981
3529;Lobra de Gaudí - Parque Güell;1985
3530;Lorgia;1978
3531;Lorquestra Ciutat de Barcelona;1979
3532;Lultimo harem;1981
3533;Lunivers de Jacques Demy;1995
3534;Luomo che sfidò lorganizzazione;1975
3535;Léducation amoureuse de Valentin;1976
3536;Léventreur de Notre-Dame;1975
3537;La acción torrencial de nuestros ríos;1975
3538;La adúltera;1975
3539;La alcantarilla de la calle 14;1982
3540;La amante ingenua;1980
3541;La amante perfecta;1976
3542;La antorcha;1979
3543;La ardilla roja;1993
3544;La avería;1998
3545;La avispita Ruinasa;1983
3546;La azotea;1981
3547;La bahía esmeralda;1989
3548;La banyera;1989
3549;La Barcelona turística;1979
3550;La basura está en el ático;1979
3551;La batalla de los Tres Reyes;1990
3552;La batalla del porro;1981
3553;La Batalla del Salado;1980
3554;La batalla del siglo;1986
3555;La beca;1989
3556;La bella del Alhambra;1989
3557;La bestia y la espada mágica;1983
3558;La biblia en pasta;1984
3559;La blanca paloma;1989
3560;La boca del lobo;1988
3561;La boda;1977
3562;La boda del señor cura;1979
3563;La boutique del llanto;1995
3564;La brecha en el tiempo;1976
3565;La buena estrella;1997
3566;La buena vida;1996
3567;La búsqueda de la felicidad;1999
3568;La caballería andante;1980
3569;La caja negra;1998
3570;La caja registradora;1999
3571;La calabaza mágica;1986
3572;La caliente niña Julietta;1981
3573;La camisa de la serpiente;1996
3574;La campanada;1980
3575;La Campiña;1993
3576;La canción de los niños;1982
3577;La canción de Valhia;1994
3578;La capilla ardiente;1981
3579;La Carmen;1976
3580;La Carta;1999
3581;La carta azul de Ana;1997
3582;La casa;1976
3583;La casa de Bernarda Alba;1987
3584;La casa de las mujeres perdidas;1983
3585;La casa del juez;1993
3586;La casa del paraíso;1982
3587;La casa grande;1975
3588;La casada divertida;1981
3589;La caza en España;1975
3590;La caída de Sódoma;1975
3591;La Celestina;1996
3592;La cerámica y la casa;1976
3593;La chari se casa;1978
3594;La chica de la piscina;1987
3595;La chica de las bragas transparentes;1981
3596;La chica de los labios rojos;1986
3597;La chica que cayó del cielo;1986
3598;La cible;1997
3599;La cigüeña bondadosa;1980
3600;La cité des enfants perdus;1995
3601;La ciudad de los prodigios;1999
3602;La ciudad es nuestra;1975
3603;La ciudad maldita;1978
3604;La ciutat cremada;1976
3605;La ciutat sense ponts;1992
3606;La cocina en casa;1990
3607;La colmena;1982
3608;La comida;1997
3609;La compania;1997
3610;La conquista de Albania;1984
3611;La conversió;1995
3612;La coquito;1977
3613;La Corea;1976
3614;La corte de Faraón;1985
3615;La criatura;1977
3616;La cripta;1981
3617;La cruz de Iberia;1990
3618;La cruz de Juvecán;1986
3619;La cruz del diablo;1975
3620;La cruz del Sur;1992
3621;La cámara oscura;1994
3622;La dama del bosque;1989
3623;La darrera nit del món;1979
3624;La de Troya en el Palmar;1984
3625;La delinqüència;1979
3626;La desconocida;1983
3627;La desnuda chica del relax;1981
3628;La diosa salvaje;1975
3629;La diputada;1988
3630;La divina proporción;1997
3631;La doble historia del Dr. Valmy;1978
3632;La doncella virtuosa;1991
3633;La dudosa virilidad de Cristóbal;1977
3634;La duquesa roja;1997
3635;La ecuación del vértigo;1991
3636;La edad del silencio;1978
3637;La encadenada;1975
3638;La endemoniada;1975
3639;La esclava blanca;1985
3640;La escopeta nacional;1978
3641;La esfera;1983
3642;La espada negra;1976
3643;La espada y la doncella;1998
3644;La especialidad de la casa;1986
3645;La espera;1983
3646;La espuela;1976
3647;La estación;1975
3648;La estanquera de Vallecas;1987
3649;La fabulosa historia de Diego Marín;1996
3650;La familia, bien, gracias;1979
3651;La febre dOr;1993
3652;La femme de chambre du Titanic;1997
3653;La festa dels traginers;1976
3654;La fiesta;1986
3655;La fiesta de los elefantes;1980
3656;La fira de Santa Lluçia;1975
3657;La flor de mi secreto;1995
3658;La frontera;1991
3659;La frígida y la viciosa;1981
3660;La fuente amarilla;1999
3661;La fuente de la edad;1991
3662;La fuga de Segovia;1981
3663;La gabbia;1985
3664;La gente de la Universal;1991
3665;La gentileza de los desconocidos;1997
3666;La Gioconda está triste;1977
3667;La gorra;1975
3668;La gotera;1996
3669;La gran comedia;1988
3670;La gran odisea;1999
3671;La gran quiniela;1984
3672;La guerra de las patatas;1998
3673;La guerra de los locos;1987
3674;La guerra de los niños;1980
3675;La guerra de papá;1977
3676;La guérilléra;1982
3677;La herida luminosa;1997
3678;La hermana;1997
3679;La hija de Fu Manchú 72;1990
3680;La historia y la vida extraterrestre;1978
3681;La hora bruja;1985
3682;La hora de los valientes;1998
3683;La hoz y el Martínez;1985
3684;La huella árabe en España;1983
3685;La industria;1993
3686;La ingenua, la lesbiana y el travesti;1983
3687;La iniciación en el amor;1976
3688;La insólita y gloriosa hazaña del cipote de Archidona;1979
3689;La ira;1989
3690;La isla de la tortuga;1998
3691;La isla de las cabezas;1978
3692;La isla de las vírgenes ardientes;1977
3693;La isla del diablo;1994
3694;La isla del infierno;1998
3695;La joven casada;1975
3696;La joven y la tentación;1986
3697;La joya del sur: Colegiata de San Martín de Elines;1998
3698;La jugada;1993
3699;La larga noche de los bastones blancos;1979
3700;La leggenda del Titanic;1999
3701;La lengua asesina;1996
3702;La lengua de las mariposas;1999
3703;La lettre;1999
3704;La ley de la frontera;1995
3705;La ley del deseo;1987
3706;La leyenda de Balthasar el Castrado;1996
3707;La leyenda de la doncella;1994
3708;La leyenda de un hombre malo;1994
3709;La leyenda del tambor;1982
3710;La leyenda del viento del Norte;1992
3711;La llamada del sexo;1977
3712;La lluvia que se vendió;1994
3713;La loca historia de los tres mosqueteros;1983
3714;La Lola nos lleva al huerto;1984
3715;La Lola se va a los puertos;1993
3716;La lozana andaluza;1976
3717;La lucha Thai;1980
3718;La luna negra;1989
3719;La luz que me ilumina;1999
3720;La línea del cielo;1984
3721;La madre;1995
3722;La madre muerta;1993
3723;La magia de Los Parchís;1982
3724;La maglana;1992
3725;La maison Tellier;1981
3726;La maldición de la bestia;1975
3727;La mano negra;1980
3728;La mansión de los Cthulhu;1992
3729;La mansión de los muertos vivientes;1985
3730;La mare socupa de mí;1996
3731;La marrana;1992
3732;La masajista vocacional;1981
3733;La maschera del demonio;1989
3734;La medalla hoy;1978
3735;La memoria del agua;1992
3736;La menor;1976
3737;La mentira;1975
3738;La metamorfosis de Franz Kafka;1994
3739;La miel;1979
3740;La mirada del otro;1998
3741;La mirada del ángel;1998
3742;La mitad del cielo;1986
3743;La moglie in bianco... lamante al pepe;1982
3744;La momia nacional;1981
3745;La monja alférez;1987
3746;La montaña;1992
3747;La Moños;1997
3748;La muchacha de las bragas de oro;1980
3749;La muerte de Mikel;1984
3750;La muerte del escorpión;1976
3751;La muerte ronda a Mónica;1976
3752;La mujer de la tierra caliente;1978
3753;La mujer del juez;1984
3754;La mujer del ministro;1981
3755;La mujer en Goya;1977
3756;La mujer es cosa de hombres;1976
3757;La mujer es un buen negocio;1977
3758;La mujer más fea del mundo;1999
3759;La muñeca;1983
3760;La màgia a Catalunya;1983
3761;La máquina;1976
3762;La máscara;1977
3763;La música de les esferes;1996
3764;La nave de los locos;1995
3765;La neña los míos güeyos;1999
3766;La niña de tus ojos;1998
3767;La niña de tus sueños;1995
3768;La noche de la ira;1986
3769;La noche de las gaviotas;1975
3770;La noche de los cien pájaros;1976
3771;La noche de los sexos abiertos;1983
3772;La noche del ejecutor;1992
3773;La noche más hermosa;1984
3774;La noche más larga;1991
3775;La noche oscura;1989
3776;La notícia dahir;1984
3777;La nova cançó;1976
3778;La novia de medianoche;1997
3779;La novia moderna;1995
3780;La nueva Costa del Sol;1976
3781;La nueva Marilyn;1976
3782;La ocasión;1978
3783;La orden del estandarte verde;1996
3784;La organización Mundial del Turismo en Madrid;1975
3785;La oscura historia de la prima Montse;1977
3786;La otra alcoba;1976
3787;La otra cara de Payasín;1980
3788;La otra noche un disk-jockey salvó mi vida;1984
3789;La paloma azul;1980
